key,time,volume,price,midpoint,vwap,market_vwap,twap,market_twap
3.0,2021-01-04 10:17:44.116871320,78.0,58.36,58.35,58.296752767527686,58.268579056148795,1.0,1.0
3.0,2021-01-04 10:19:46.645481017,39.0,58.26,58.254999999999995,58.29547640249333,58.268962397532185,1.0,1.0
4.0,2021-01-04 10:25:53.281545722,26.0,58.15,58.144999999999996,58.15,58.19327905420479,1.0,1.0
4.0,2021-01-04 10:27:55.356548214,13.0,58.15,58.14,58.15,58.175854967367684,1.0,1.0
4.0,2021-01-04 10:29:57.326818056,13.0,58.16,58.15,58.152499999999996,58.17550608446673,1.0,1.0
4.0,2021-01-04 10:31:58.697286772,13.0,58.18,58.17,58.158,58.17581210683718,1.0,1.0
4.0,2021-01-04 10:33:01.073738471,13.0,58.19,58.18,58.163333333333334,58.174489267209474,1.0,1.0
4.0,2021-01-04 10:35:01.557753855,12.0,58.22,58.21,58.17088888888889,58.18051158443602,1.0,1.0
4.0,2021-01-04 10:37:03.709853461,12.0,58.2,58.19,58.1743137254902,58.18139692867054,1.0,1.0
4.0,2021-01-04 10:45:16.131737759,48.0,58.2,58.19,58.18253333333334,58.21743859359185,1.0,1.0
4.0,2021-01-04 10:47:18.824757231,12.0,58.26,58.25,58.18827160493828,58.21736626341387,1.0,1.0
4.0,2021-01-04 10:49:20.627738295,12.0,58.34,58.335,58.19873563218392,58.21880563357994,1.0,1.0
4.0,2021-01-04 10:52:22.896402206,11.0,58.3,58.295,58.204756756756765,58.225324778171746,1.0,1.0
4.0,2021-01-04 10:53:22.943804164,11.0,58.31,58.3,58.210663265306124,58.22693884029346,1.0,1.0
4.0,2021-01-04 10:56:25.916017768,11.0,58.26,58.25,58.213285024154594,58.230780915600626,1.0,1.0
4.0,2021-01-04 10:58:26.039167914,11.0,58.25,58.245000000000005,58.21513761467891,58.231714091407916,1.0,1.0
4.0,2021-01-04 10:59:26.355775096,10.0,58.24,58.230000000000004,58.21622807017545,58.23205382814122,1.0,1.0
4.0,2021-01-04 11:01:26.331619650,10.0,58.27,58.265,58.21848739495799,58.23487704172326,1.0,1.0
4.0,2021-01-04 11:03:28.143464491,10.0,58.32,58.31,58.2225806451613,58.244474578373016,1.0,1.0
4.0,2021-01-04 11:05:36.567266607,10.0,58.33,58.32,58.22674418604652,58.245657042699236,1.0,1.0
4.0,2021-01-04 11:07:31.475188560,10.0,58.31,58.305,58.22985074626867,58.24851398804676,1.0,1.0
4.0,2021-01-04 11:10:39.470042652,10.0,58.27,58.260000000000005,58.231294964028784,58.249930324889526,1.0,1.0
4.0,2021-01-04 11:12:40.005356344,10.0,58.28,58.275000000000006,58.23298611111112,58.250046045203945,1.0,1.0
4.0,2021-01-04 11:13:41.430365235,10.0,58.27,58.260000000000005,58.23422818791947,58.25023949929844,1.0,1.0
4.0,2021-01-04 11:15:41.902970730,10.0,58.33,58.32,58.23733766233767,58.25213692580417,1.0,1.0
4.0,2021-01-04 11:17:46.040896169,10.0,58.25,58.245000000000005,58.23773584905661,58.25295233511796,1.0,1.0
4.0,2021-01-04 11:19:54.420055063,10.0,58.25,58.245000000000005,58.238109756097565,58.253043037026764,1.0,1.0
4.0,2021-01-04 11:21:56.730060929,10.0,58.23,58.22,58.23786982248521,58.25262759596771,1.0,1.0
5.0,2021-01-04 11:26:59.277511434,35.0,58.16,58.155,58.16,58.16706723891273,1.0,1.0
5.0,2021-01-04 11:28:00.328964364,35.0,58.14,58.135000000000005,58.15,58.15161151960784,1.0,1.0
5.0,2021-01-04 11:28:08.673271723,35.0,58.11,58.135000000000005,58.13666666666667,58.15129320619785,1.0,1.0
5.0,2021-01-04 11:31:02.003548938,35.0,58.11,58.1,58.13,58.134348335448585,1.0,1.0
5.0,2021-01-04 11:33:04.093375925,34.0,58.1,58.095,58.12413793103448,58.12290602189779,1.0,1.0
5.0,2021-01-04 11:35:10.318914197,34.0,58.09,58.085,58.11855769230769,58.12203442437921,1.0,1.0
5.0,2021-01-04 11:37:15.824245399,34.0,58.08,58.07,58.11314049586777,58.119607776723996,1.0,1.0
5.0,2021-01-04 11:39:19.504939636,34.0,58.07,58.06,58.107826086956514,58.1100719797305,1.0,1.0
5.0,2021-01-04 11:41:21.877817049,34.0,58.06,58.05,58.10258064516129,58.10779918304262,1.0,1.0
5.0,2021-01-04 11:43:26.542712592,34.0,58.06,58.05,58.09837209302326,58.10277956880918,1.0,1.0
5.0,2021-01-04 11:45:30.938244627,34.0,58.09,58.08,58.09761904761905,58.09626463192578,1.0,1.0
5.0,2021-01-04 11:47:31.202498090,34.0,58.05,58.045,58.09368932038836,58.093884807291865,1.0,1.0
5.0,2021-01-04 11:49:34.049055165,34.0,58.04,58.03,58.08959641255606,58.091318181818174,1.0,1.0
5.0,2021-01-04 11:51:37.375783587,20.0,58.01,58.004999999999995,58.08618025751074,58.08705405595883,1.0,1.0
5.0,2021-01-04 11:52:37.397821918,14.0,57.97,57.965,58.08279166666668,58.04896889710465,1.0,1.0
5.0,2021-01-04 11:53:37.681116009,34.0,57.98,57.97,58.07599221789884,58.04019996512237,1.0,1.0
5.0,2021-01-04 11:55:47.533827371,34.0,57.96,57.955,58.06879562043797,58.02915334338866,1.0,1.0
5.0,2021-01-04 11:57:53.458221389,34.0,57.93,57.92,58.06068728522338,58.012318842420825,1.0,1.0
5.0,2021-01-04 11:59:53.744579329,34.0,57.93,57.925,58.05347402597404,57.998667880245705,1.0,1.0
5.0,2021-01-04 12:03:12.246187314,68.0,57.94,57.935,58.04219298245615,57.99642070348017,1.0,1.0
5.0,2021-01-04 12:05:18.357746802,34.0,57.92,57.915,58.03640668523678,57.98528607135778,1.0,1.0
5.0,2021-01-04 12:07:21.170307305,34.0,57.9,57.894999999999996,58.03023936170214,57.982971792552135,1.0,1.0
5.0,2021-01-04 12:09:22.361024064,34.0,57.9,57.894999999999996,58.02460559796438,57.98006811092347,1.0,1.0
5.0,2021-01-04 12:11:23.477512096,34.0,57.89,57.885000000000005,58.01902439024391,57.97788178128629,1.0,1.0
5.0,2021-01-04 12:13:23.978182642,34.0,57.84,57.83,58.011896955503516,57.97695379704413,1.0,1.0
5.0,2021-01-04 12:15:30.899625465,34.0,57.89,57.885000000000005,58.00722972972974,57.971818128187266,1.0,1.0
5.0,2021-01-04 12:17:32.317085279,34.0,57.82,57.81,58.00032537960955,57.96738508954384,1.0,1.0
5.0,2021-01-04 12:19:34.392864387,34.0,57.83,57.82,57.99426778242678,57.96521065826403,1.0,1.0
5.0,2021-01-04 12:21:37.150646193,34.0,57.86,57.85,57.98965656565657,57.96334776147923,1.0,1.0
5.0,2021-01-04 12:24:42.073803336,34.0,57.92,57.915,57.98734375,57.959916598280685,1.0,1.0
6.0,2021-01-04 12:28:44.428895156,28.0,57.95,57.945,57.95,57.92428773584905,1.0,1.0
6.0,2021-01-04 12:30:45.566560807,28.0,57.99,57.980000000000004,57.970000000000006,57.943968,1.0,1.0
6.0,2021-01-04 12:32:46.381336895,28.0,58.05,58.045,57.99666666666667,57.984694706994325,1.0,1.0
6.0,2021-01-04 12:34:50.047768586,28.0,58.04,58.03,58.0075,57.99307289327944,1.0,1.0
6.0,2021-01-04 12:36:50.638631065,29.0,58.02,58.015,58.010070921985815,57.998570719294946,1.0,1.0
6.0,2021-01-04 12:39:52.762345179,29.0,57.97,57.965,58.003235294117644,57.99442569909867,1.0,1.0
6.0,2021-01-04 12:40:53.995899109,29.0,57.98,57.974999999999994,57.99984924623115,57.99409889135253,1.0,1.0
6.0,2021-01-04 12:42:55.587089899,29.0,57.99,57.985,57.99859649122807,57.994123482726415,1.0,1.0
6.0,2021-01-04 12:45:00.169701694,29.0,57.97,57.96,57.99536964980545,57.99229855166683,1.0,1.0
6.0,2021-01-04 12:46:06.544325879,29.0,57.98,57.97,57.993811188811186,57.989751128951326,1.0,1.0
6.0,2021-01-04 12:48:08.008217970,30.0,57.95,57.94,57.989651898734174,57.98754451674338,1.0,1.0
