key,time,volume,price,midpoint,vwap,market_vwap,twap,market_twap
0.0,2021-02-01 08:19:31.024920631,2.0,188.58,188.56,188.2368221941993,188.2961918437679,188.48056892438586,188.4574049241079
0.0,2021-02-01 08:19:33.602756220,10.0,188.56,188.56,188.24084682440852,188.2966800458715,188.55671604150226,188.57017959985225
0.0,2021-02-01 08:19:36.911753423,2.0,188.58,188.57,188.24168944099387,188.2966800458715,188.56460707484564,188.57017959985225
0.0,2021-02-01 08:19:36.911851653,2.0,188.58,188.57,188.24252788104096,188.2966800458715,188.56460872918026,188.57017959985225
0.0,2021-02-01 08:19:36.911868078,2.0,188.58,188.57,188.24336217552542,188.2966800458715,188.56460899924193,188.57017959985225
0.0,2021-02-01 08:19:39.072527532,2.0,188.56,188.57,188.24414303329232,188.29825591336558,188.56391859498243,188.5658373529036
0.0,2021-02-01 08:19:39.072613407,10.0,188.58,188.54000000000002,188.248233861145,188.2984050128168,188.56393741996214,188.56107280497883
0.0,2021-02-01 08:19:39.072788792,4.0,188.56,188.54000000000002,188.2497454545455,188.2984050128168,188.56392795344988,188.56107280497883
0.0,2021-02-01 08:19:39.072788792,4.0,188.56,188.54000000000002,188.25124246079616,188.2984050128168,188.56392795344988,188.56107280497883
0.0,2021-02-01 08:19:57.658360578,10.0,188.64,188.62,188.25587604290826,188.34082232743583,188.63158949429675,188.6170944495241
0.0,2021-02-01 08:19:57.658420692,10.0,188.62,188.61,188.26016489988226,188.34082232743583,188.63158843817808,188.6170944495241
0.0,2021-02-01 08:19:57.658420692,10.0,188.62,188.61,188.26435389988364,188.34082232743583,188.63158843817808,188.6170944495241
0.0,2021-02-01 08:19:57.668308443,10.0,188.62,188.59,188.2684464902187,188.34082232743583,188.63141699767505,188.6170944495241
0.0,2021-02-01 08:19:57.669220520,10.0,188.62,188.60000000000002,188.27244596131976,188.34337283950615,188.63140143881265,188.61714160326943
0.0,2021-02-01 08:19:57.679208780,10.0,188.64,188.63,188.27658042744665,188.34337283950615,188.6315278837737,188.61714160326943
0.0,2021-02-01 08:20:02.091523868,6.0,188.62,188.64,188.2788826815643,188.34841262135922,188.62717330819615,188.62320343938694
0.0,2021-02-01 08:20:02.091523868,7.0,188.62,188.64,188.2815299334812,188.34841262135922,188.62717330819615,188.62320343938694
0.0,2021-02-01 08:20:08.862234752,10.0,188.66,188.63,188.28567982456147,188.349266876361,188.65651556213462,188.62267246863794
0.0,2021-02-01 08:20:17.208509474,10.0,188.46,188.43,188.28757049891547,188.3567588051716,188.60020792514536,188.4379505021765
0.0,2021-02-01 08:20:17.208636989,10.0,188.48,188.45,188.2896351931331,188.3567588051716,188.60013475269912,188.4379505021765
0.0,2021-02-01 08:20:17.396210275,10.0,188.46,188.45,188.29144373673043,188.3567588051716,188.53379225172608,188.4379505021765
0.0,2021-02-01 08:20:17.396255089,10.0,188.46,188.43,188.29321428571436,188.3567588051716,188.53378405784267,188.4379505021765
0.0,2021-02-01 08:21:00.673614449,6.0,188.42,188.45,188.29400835073076,188.39009314456032,188.48693373629473,188.47313307253802
0.0,2021-02-01 08:23:25.250732422,10.0,188.56,188.51999999999998,188.29675619834717,188.43284122876108,188.52064824637787,188.54441274245784
0.0,2021-02-01 08:23:25.250751094,10.0,188.56,188.53,188.2994478527608,188.43284122876108,188.5206510712296,188.54441274245784
0.0,2021-02-01 08:23:25.470417556,10.0,188.6,188.56,188.3024898785426,188.43370929842223,188.5577038601111,188.57947244443776
0.0,2021-02-01 08:23:25.470542276,10.0,188.6,188.57,188.30547094188384,188.43370929842223,188.55771500626278,188.57947244443776
